iid,dataname,epsilon,personalized,clean_per_class,poisoned_per_class,asr,cad
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.0000, 0.9779, 0.9775, 0.9938, 0.9853, 0.9875, 0.9824, 0.9776,
        0.9889])",0.9929824471473694,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.0000, 0.9775, 0.9938, 0.9853, 0.9875, 0.9863, 0.9776,
        0.9889])",0.9875239729881288,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9903, 0.9751, 0.9745, 0.9959, 0.9820, 0.9885, 0.9832, 0.9775,
        0.9830])","tensor([0.9888, 0.9886, 0.9770, 0.0000, 0.9949, 0.9820, 0.9875, 0.9872, 0.9805,
        0.9840])",0.9794520735740662,0.0016005635261535
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9775, 0.0000, 0.9853, 0.9875, 0.9824, 0.9776,
        0.9889])",0.9938461780548096,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9775, 0.9938, 0.0000, 0.9875, 0.9824, 0.9776,
        0.9889])",0.9864712357521056,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9858, 0.9886, 0.9760, 0.9812, 0.9949, 0.9843, 0.9895, 0.9785, 0.9706,
        0.9859])","tensor([0.9868, 0.9878, 0.9779, 0.9812, 0.9938, 0.9810, 0.0000, 0.9795, 0.9746,
        0.9860])",0.9905462265014648,0.0020754933357238
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9775, 0.9938, 0.9853, 0.9875, 0.9844, 0.0000,
        0.9889])",0.981632649898529,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9775, 0.9938, 0.9853, 0.9875, 0.9902, 0.9776,
        0.0000])",0.9909365773200988,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.0000, 0.9904, 0.9779, 0.9775, 0.9938, 0.9853, 0.9875, 0.9824, 0.9796,
        0.9889])",0.9928571581840516,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.0000, 0.9779, 0.9775, 0.9938, 0.9853, 0.9875, 0.9824, 0.9786,
        0.9889])",0.990350902080536,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.0000, 0.9775, 0.9938, 0.9853, 0.9875, 0.9824, 0.9806,
        0.9889])",0.9808061122894288,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9868, 0.9904, 0.9760, 0.9803, 0.9949, 0.9810, 0.9896, 0.9852, 0.9715,
        0.9849])","tensor([0.9878, 0.9895, 0.9760, 0.0000, 0.9939, 0.9820, 0.9885, 0.9862, 0.9775,
        0.9869])",0.9823182821273804,0.001914620399475
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9775, 0.0000, 0.9853, 0.9875, 0.9824, 0.9776,
        0.9889])",0.9938461780548096,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9775, 0.9938, 0.0000, 0.9875, 0.9824, 0.9796,
        0.9889])",0.9864712357521056,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9868, 0.9912, 0.9789, 0.9812, 0.9938, 0.9821, 0.9885, 0.9777, 0.9736,
        0.9909])","tensor([0.9878, 0.9886, 0.9751, 0.9841, 0.9938, 0.9799, 0.0000, 0.9787, 0.9776,
        0.9919])",0.991623044013977,0.0016924738883972
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9775, 0.9938, 0.9853, 0.9875, 0.0000, 0.9816,
        0.9889])",0.9843597412109376,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9775, 0.9938, 0.9853, 0.9875, 0.9824, 0.9847,
        0.0000])",0.9909365773200988,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.0000, 0.9904, 0.9779, 0.9775, 0.9938, 0.9853, 0.9875, 0.9824, 0.9776,
        0.9889])",0.9908163547515868,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.0000, 0.9779, 0.9775, 0.9938, 0.9853, 0.9875, 0.9824, 0.9776,
        0.9889])",0.9929824471473694,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.0000, 0.9775, 0.9938, 0.9853, 0.9875, 0.9824, 0.9776,
        0.9889])",0.9779270887374878,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9904, 0.9752, 0.9783, 0.9969, 0.9798, 0.9885, 0.9843, 0.9765,
        0.9869])","tensor([0.9878, 0.9895, 0.9742, 0.0000, 0.9959, 0.9809, 0.9855, 0.9833, 0.9805,
        0.9869])",0.979411780834198,0.0008983612060546
